Array Length: 2^22

Threads:,1
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:15,4194304,0,0,204.707,true
2024-10-25 09:13:15,4194304,1,0,204.494,true
2024-10-25 09:13:15,4194304,2,0,206.48,true
2024-10-25 09:13:15,4194304,3,0,198.02,true
2024-10-25 09:13:16,4194304,4,0,206.122,true
2024-10-25 09:13:16,4194304,5,0,202.137,true
2024-10-25 09:13:16,4194304,6,0,197.736,true
2024-10-25 09:13:16,4194304,7,0,209.465,true
2024-10-25 09:13:16,4194304,8,0,198.487,true
2024-10-25 09:13:17,4194304,9,0,196.115,true


Threads:,27
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:17,4194304,0,0,209.732,true
2024-10-25 09:13:17,4194304,1,0,213.663,true
2024-10-25 09:13:17,4194304,2,0,204.428,true
2024-10-25 09:13:18,4194304,3,0,203.928,true
2024-10-25 09:13:18,4194304,4,0,200.93,true
2024-10-25 09:13:18,4194304,5,0,207.871,true
2024-10-25 09:13:18,4194304,6,0,203.165,true
2024-10-25 09:13:19,4194304,7,0,206.652,true
2024-10-25 09:13:19,4194304,8,0,205.691,true
2024-10-25 09:13:19,4194304,9,0,201.668,true


Threads:,28
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:19,4194304,0,0,218.923,true
2024-10-25 09:13:20,4194304,1,0,218.5,true
2024-10-25 09:13:20,4194304,2,0,203.556,true
2024-10-25 09:13:20,4194304,3,0,208.943,true
2024-10-25 09:13:20,4194304,4,0,212.681,true
2024-10-25 09:13:20,4194304,5,0,207.384,true
2024-10-25 09:13:21,4194304,6,0,206.094,true
2024-10-25 09:13:21,4194304,7,0,204.255,true
2024-10-25 09:13:21,4194304,8,0,209.919,true
2024-10-25 09:13:21,4194304,9,0,206.108,true


Threads:,29
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:22,4194304,0,0,218.831,true
2024-10-25 09:13:22,4194304,1,0,214.443,true
2024-10-25 09:13:22,4194304,2,0,208.373,true
2024-10-25 09:13:22,4194304,3,0,215.117,true
2024-10-25 09:13:23,4194304,4,0,213.725,true
2024-10-25 09:13:23,4194304,5,0,209.301,true
2024-10-25 09:13:23,4194304,6,0,208.968,true
2024-10-25 09:13:23,4194304,7,0,212.795,true
2024-10-25 09:13:24,4194304,8,0,215.81,true
2024-10-25 09:13:24,4194304,9,0,206.329,true


Threads:,30
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:24,4194304,0,0,218.323,true
2024-10-25 09:13:24,4194304,1,0,226.938,true
2024-10-25 09:13:24,4194304,2,0,214.256,true
2024-10-25 09:13:25,4194304,3,0,215.916,true
2024-10-25 09:13:25,4194304,4,0,214.751,true
2024-10-25 09:13:25,4194304,5,0,218.202,true
2024-10-25 09:13:25,4194304,6,0,221.317,true
2024-10-25 09:13:26,4194304,7,0,215.723,true
2024-10-25 09:13:26,4194304,8,0,215.551,true
2024-10-25 09:13:26,4194304,9,0,216.303,true


Threads:,31
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:26,4194304,0,0,222.747,true
2024-10-25 09:13:27,4194304,1,0,227.408,true
2024-10-25 09:13:27,4194304,2,0,216.811,true
2024-10-25 09:13:27,4194304,3,0,223.46,true
2024-10-25 09:13:27,4194304,4,0,216.82,true
2024-10-25 09:13:28,4194304,5,0,222.332,true
2024-10-25 09:13:28,4194304,6,0,220.101,true
2024-10-25 09:13:28,4194304,7,0,217.383,true
2024-10-25 09:13:28,4194304,8,0,224.259,true
2024-10-25 09:13:29,4194304,9,0,222.818,true


Threads:,32
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:13:29,4194304,0,0,227.924,true
2024-10-25 09:13:29,4194304,1,0,229.821,true
2024-10-25 09:13:29,4194304,2,0,222.824,true
2024-10-25 09:13:30,4194304,3,0,229.343,true
2024-10-25 09:13:30,4194304,4,0,223.137,true
2024-10-25 09:13:30,4194304,5,0,227.125,true
2024-10-25 09:13:30,4194304,6,0,223.938,true
2024-10-25 09:13:31,4194304,7,0,226.65,true
2024-10-25 09:13:31,4194304,8,0,229.185,true
2024-10-25 09:13:31,4194304,9,0,224.835,true


